,start_value,bottom_value,difference,percent_diff
0,232000.0,219633.33,-12366.670000000013,-0.05330461206896557
1,116933.33,116200.0,-733.3300000000017,-0.006271351376036257
2,193833.33,168200.0,-25633.329999999987,-0.1322441811219979
3,213300.0,164200.0,-49100.0,-0.2301922175339897
4,424633.33,389066.67,-35566.66000000003,-0.08375852173450453
5,582933.33,530100.0,-52833.32999999996,-0.09063357211021021
6,154766.67,140666.67,-14100.0,-0.09110488711813725
7,754266.67,694433.33,-59833.340000000084,-0.07932650663193176
8,210966.67,203966.67,-7000.0,-0.03318059672648765
9,65833.33,60300.0,-5533.330000000002,-0.08405058653420694
10,112166.67,109733.33,-2433.3399999999965,-0.02169396666585534
11,83600.0,75933.33,-7666.669999999998,-0.0917065789473684
12,83600.0,75933.33,-7666.669999999998,-0.0917065789473684
13,158633.33,149833.33,-8800.0,-0.05547384020747721
14,116066.67,118666.67,2600.0,0.022400918368727214
15,347200.0,325300.0,-21900.0,-0.06307603686635944
16,434633.33,393966.67,-40666.66000000003,-0.09356544285271456
18,220866.67,209333.33,-11533.340000000026,-0.052218562447652356
19,154266.67,149966.67,-4300.0,-0.027873810979390425
20,127866.67,116700.0,-11166.669999999998,-0.08733057645123626
21,175766.67,164366.67,-11400.0,-0.06485871297442228
22,281266.67,274866.67,-6400.0,-0.022754206888430828
23,109166.67,107200.0,-1966.6699999999983,-0.01801529715983824
24,129333.33,126233.33,-3100.0,-0.023969072782708063
25,193500.0,195033.33,1533.3299999999872,0.007924186046511562
26,199633.33,169200.0,-30433.329999999987,-0.15244613712549898
27,233200.0,199833.33,-33366.67000000001,-0.14308177530017158
28,263833.33,248800.0,-15033.330000000016,-0.05698040501554529
29,195766.67,183266.67,-12500.0,-0.06385152283583308
30,177500.0,160400.0,-17100.0,-0.09633802816901409
31,92833.33,91500.0,-1333.3300000000017,-0.014362621700632754
32,127633.33,132833.33,5199.999999999985,0.040741709081789104
34,187400.0,180566.67,-6833.329999999987,-0.03646387406616856
