,start_value,bottom_value,difference,percent_diff
0,500033.33,465900.0,-34133.330000000016,-0.06826210964777091
1,469366.67,413633.33,-55733.33999999997,-0.1187415800103573
2,232000.0,219633.33,-12366.670000000013,-0.05330461206896557
3,116933.33,116200.0,-733.3300000000017,-0.006271351376036257
4,193833.33,168200.0,-25633.329999999987,-0.1322441811219979
5,213300.0,164200.0,-49100.0,-0.2301922175339897
6,424633.33,389066.67,-35566.66000000003,-0.08375852173450453
7,112100.0,105066.67,-7033.330000000002,-0.06274157002676184
8,582933.33,530100.0,-52833.32999999996,-0.09063357211021021
9,154766.67,140666.67,-14100.0,-0.09110488711813725
10,754266.67,694433.33,-59833.340000000084,-0.07932650663193176
11,210966.67,203966.67,-7000.0,-0.03318059672648765
12,65833.33,60300.0,-5533.330000000002,-0.08405058653420694
13,112166.67,109733.33,-2433.3399999999965,-0.02169396666585534
14,83600.0,75933.33,-7666.669999999998,-0.0917065789473684
15,158633.33,149833.33,-8800.0,-0.05547384020747721
16,116066.67,118666.67,2600.0,0.022400918368727214
17,347200.0,325300.0,-21900.0,-0.06307603686635944
18,434633.33,393966.67,-40666.66000000003,-0.09356544285271456
20,220866.67,209333.33,-11533.340000000026,-0.052218562447652356
21,369500.0,349433.33,-20066.669999999984,-0.05430763193504732
22,154266.67,149966.67,-4300.0,-0.027873810979390425
23,127866.67,116700.0,-11166.669999999998,-0.08733057645123626
24,175766.67,164366.67,-11400.0,-0.06485871297442228
25,281266.67,274866.67,-6400.0,-0.022754206888430828
26,109166.67,107200.0,-1966.6699999999983,-0.01801529715983824
27,129333.33,126233.33,-3100.0,-0.023969072782708063
28,193500.0,195033.33,1533.3299999999872,0.007924186046511562
29,199633.33,169200.0,-30433.329999999987,-0.15244613712549898
30,233200.0,199833.33,-33366.67000000001,-0.14308177530017158
31,191666.67,167000.0,-24666.670000000013,-0.12869566732703194
32,426600.0,387000.0,-39600.0,-0.09282700421940929
33,151633.33,125233.33,-26399.999999999985,-0.17410420255230158
34,263833.33,248800.0,-15033.330000000016,-0.05698040501554529
35,195766.67,183266.67,-12500.0,-0.06385152283583308
36,177500.0,160400.0,-17100.0,-0.09633802816901409
37,295833.33,227200.0,-68633.33000000002,-0.2319999913464788
38,424400.0,375966.67,-48433.330000000016,-0.11412188972667299
39,92833.33,91500.0,-1333.3300000000017,-0.014362621700632754
40,71266.67,66400.0,-4866.669999999998,-0.06828816331673696
41,539200.0,503600.0,-35600.0,-0.06602373887240356
42,197633.33,183366.67,-14266.659999999974,-0.07218752019206465
43,127633.33,132833.33,5199.999999999985,0.040741709081789104
45,125000.0,119666.67,-5333.330000000002,-0.04266664000000001
46,187400.0,180566.67,-6833.329999999987,-0.03646387406616856
47,105233.33,110666.67,5433.3399999999965,0.05163136052047385
48,156400.0,135200.0,-21200.0,-0.13554987212276215
49,461900.0,379700.0,-82200.0,-0.17796059753193333
50,432033.33,305333.33,-126700.0,-0.2932644108731148
51,160200.0,148700.0,-11500.0,-0.07178526841448189
52,118266.67,114200.0,-4066.6699999999983,-0.034385596550575055
53,112833.33,106800.0,-6033.330000000002,-0.053471168492501296
54,81133.33,80300.0,-833.3300000000017,-0.010271117924039378
55,325300.0,236266.67,-89033.32999999999,-0.2736960651706117
56,211500.0,196966.67,-14533.329999999987,-0.06871550827423162
57,296133.33,272000.0,-24133.330000000016,-0.081494811813314
58,202066.67,167566.67,-34500.0,-0.17073572796542844
59,150466.67,144166.67,-6300.0,-0.04186973766349717
60,76400.0,71066.67,-5333.330000000002,-0.06980798429319374
61,370333.33,339766.67,-30566.660000000033,-0.08253823656650086
62,141800.0,139833.33,-1966.6700000000128,-0.013869322990127029
63,281500.0,257700.0,-23800.0,-0.08454706927175844
64,179166.67,169800.0,-9366.670000000013,-0.052279087399458905
65,207633.33,160500.0,-47133.32999999999,-0.22700271676035821
66,205233.33,197066.67,-8166.659999999974,-0.03979207470833307
