"1""-2""","2""-3""","3""-4""","4""-5""","5""-6""","6""-12""",A.H.G.A. Hosta of the Year,AAS (All-America Selection®),Alpine Gardening,B (Boron),Bark,Bats,Beach Front,Bees,Beetles,Bi-Color,Birds,Blue,Bog gardening,Brown,Bulb,Bulbs,Bumblebees,Butterflies,Ca (Calcium),Cactus/Succulent,Can handle transplanting,Carnivorous,Caudex,Cleistogamous,Co (Cobalt),Coarse Soil,Cooked,Cooked greens,Corm,Corms,Crowns,Cu (Copper),Culinary Herb,Culinary Herb/Spice,Cut Flower,Cuttings: Cane,Cuttings: Leaf,Cuttings: Root,Cuttings: Stem,Cuttings: Tip,Days to germinate,Deer Resistant,Depth to plant seed,Dioecious,Division,Dried Flower,Drought tolerant,Dry,Dry Mesic,Dye production,Endangered,Epiphytic,Erosion control,Espalier,Extremely acid (3.5 – 4.4),Fe (Iron),Fermented,Fern,Fine Soil,Fire Resistant,Flies,Flood Resistant,Flower Time_Fall,Flower Time_Late fall or early winter,Flower Time_Late spring or early summer,Flower Time_Late summer or early fall,Flower Time_Late winter or early spring,Flower Time_Other,Flower Time_Spring,Flower Time_Summer,Flower Time_Winter,Flower Time_Year Round,Flowering Tree,Flowers,Flowers_Blooms on new wood,Flowers_Blooms on old wood,Flowers_Fragrant,Flowers_Inconspicuous,Flowers_Malodorous,Flowers_Nocturnal,Flowers_Other,Flowers_Showy,Foliage Mound Height,Fruit,Fruit is poisonous,Fruit_Dehiscent,Fruit_Edible to birds,Fruit_Indehiscent,Fruit_Other,Fruit_Pops open explosively when ripe,Fruit_Showy,Fruiting Time_Fall,Fruiting Time_Late fall or early winter,Fruiting Time_Late spring or early summer,Fruiting Time_Late summer or early fall,Fruiting Time_Late winter or early spring,Fruiting Time_Other,Fruiting Time_Spring,Fruiting Time_Summer,Fruiting Time_Winter,Fruiting Time_Year Round,Full Shade,Full Sun,Full Sun to Partial Shade,Genetically Modified,Genus,Goes Dormant,Good as a cover crop,Gophers/Voles,Grass/Grass-like,Green,Groundcover,Guardian plant,Herb/Forb,Houseplant,Hoverflies,Humidity tolerant,Hummingbirds,I (Iodine),In Water,Inflorescence Height,K (Potassium),Lavender,Layering,Leaves,Leaves are poisonous,Leaves_Broadleaf,Leaves_Deciduous,Leaves_Evergreen,Leaves_Fragrant,Leaves_Glaucous,Leaves_Good fall color,Leaves_Malodorous,Leaves_Needled,Leaves_Other,Leaves_Semi-evergreen,Leaves_Spring ephemeral,Leaves_Unusual foliage color,Leaves_Variegated,Life cycle,Mauve,Maximum recommended zone,Medicinal Herb,Medium Soil,Mesic,Mg (Magnesium),Midges,Minimum cold hardiness,Mn (Manganese),Mo (Molybdenum),Moderately acid (5.6 – 6.0),Moderately alkaline (7.9 – 8.4),Monocarpic,Monoecious,Moths and Butterflies,Multi-Color,Na (Sodium),Needs excellent drainage in pots,Needs repotting every 2 to 3 years,Needs specific temperature,Neutral (6.6 – 7.3),Nitrogen fixer,Not suitable for containers,Offsets,Orange,Other,Other Beneficial Insects,Other info,"Over 12""",P (Phosphorus),Partial Shade to Full Shade,Partial or Dappled Shade,Patent/Plant Breeders' Rights,Patio/Ornamental/Small Tree,Pink,Plant Height,Plant Spread,Pollution,Powdery Mildew,Preferred depth,Prefers to be under-potted,Provide darkness,Provide light,Provides winter interest,Purple,RHS AGM,Rabbit Resistant,Raw,Red,Rhizome,Roots,Roots are poisonous,Russet,S (Sulfur),Salad greens,Salt tolerant,Sap,Scarify seeds,Seeds are hydrophilic,Seeds or Nuts,Self,Self fertile,Shade Tree,Shrub,Si (Silicon),Slightly acid (6.1 – 6.5),Slightly alkaline (7.4 – 7.8),Sow in situ,Species,Squirrels,Start indoors,Stem,Stolons and runners,Stratify seeds,Street Tree,Strongly acid (5.1 – 5.5),Strongly alkaline (8.5 – 9.0),Suitable as Annual,Suitable for forage,Suitable for hanging baskets,Suitable for miniature gardens,Suitable for wintersowing,Suitable in 1 gallon,Suitable in 3 gallon or larger,Taproot,Tea,Terrariums,Texas Superstar®,Tolerates dry shade,Tolerates foot traffic,Tolerates poor soil,Topiary,Tree,Tuber,"Under 1""",Useful for timber production,Varieties,Various insects,Vegetable,Very strongly acid (4.5 – 5.0),Vine,Wasps,Water,Water gardens,Wet,Wet Mesic,White,Will Naturalize,Will not come true from seed,Wind,Windbreak or Hedge,With thorns/spines/prickles/teeth,Xeriscapic,Yellow,Zn (Zinc)
,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,Abutilon,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,Perennial,,Zone 8b,,0.0,,,,Zone 5a -28.9 °C (-20 °F) to -26.1 °C (-15 °F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,abutiloides,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,['https://garden.org/plants/view/79641/Shrubby-Indian-Mallow-Abutilon-abutiloides/'],,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amabilis,,,,,,,,,,,,,,,,,,,,,,,,True,,,,['https://garden.org/plants/view/79622/Pacific-Silver-Fir-Abies-amabilis/'],,,,,,,,,,,,,True,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,Abies,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,True,True,,,,,Perennial,,Zone 6b,,1.0,True,,,Zone 3 -40 °C (-40 °F) to -37.2 °C (-35),,,True,,,True,,,,,,,,,,,,,,,,,,,,,,50-70 feet,15-25 feet,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,balsamea,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,"['https://garden.org/plants/view/79623/Balsam-Fir-Abies-balsamea/', 'https://garden.org/plants/view/87454/Dwarf-Silver-Fir-Abies-balsamea-Hudsonia/', 'https://garden.org/plants/view/128014/Dwarf-Silver-Fir-Abies-balsamea-Nana/', 'https://garden.org/plants/view/138411/Balsam-Fir-Abies-balsamea-Quintin-Spreader/']",,,True,,,,,True,True,,,,True,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,Abies,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,True,True,,,,,Perennial,,Zone 6b,,0.0,True,,,Zone 3 -40 °C (-40 °F) to -37.2 °C (-35),,,True,,,True,,,,,,,,,,,,,,,,,,,,,,50-70 feet,15-25 feet,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,balsamea,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,"['https://garden.org/plants/view/79623/Balsam-Fir-Abies-balsamea/', 'https://garden.org/plants/view/87454/Dwarf-Silver-Fir-Abies-balsamea-Hudsonia/', 'https://garden.org/plants/view/128014/Dwarf-Silver-Fir-Abies-balsamea-Nana/', 'https://garden.org/plants/view/138411/Balsam-Fir-Abies-balsamea-Quintin-Spreader/']",,,True,,,,,True,True,,,,True,,,,,
,,,,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,0.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,Abutilon,,,,,,,,,,,,True,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,berlandieri,,,,,,,,,,,,,,,True,,,,,,,,,,,,,['https://garden.org/plants/view/156903/Chinese-Lantern-Abutilon-berlandieri/'],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bracteata,,,,,,,,,,,,,,,,,,,,,,,,True,,,,['https://garden.org/plants/view/79624/Bristlecone-fir-Abies-bracteata/'],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concolor,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,"['https://garden.org/plants/view/152603/White-Fir-Abies-concolor-Blue-Cloak/', 'https://garden.org/plants/view/158061/White-Fir-Abies-concolor-Candicans/', 'https://garden.org/plants/view/166334/White-Fir-Abies-concolor-Rockford/', 'https://garden.org/plants/view/166335/White-Fir-Abies-concolor-Conica/', 'https://garden.org/plants/view/166336/White-Fir-Abies-concolor-Gables-Weeping/', 'https://garden.org/plants/view/236268/White-Fir-Abies-concolor-Swifts-Silver/', 'https://garden.org/plants/view/631705/White-Fir-Abies-concolor-Violacea/']",,,,,,,,,,,,,True,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,Abies,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,Perennial,,Zone 7b,,1.0,True,,,Zone 4a -34.4 °C (-30 °F) to -31.7 °C (-25 °F),,,,,,,,,,,,,,,,,,,,,,,,,,,,3-4ft,4-6ft,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,fraseri,,,,,,,,,,,,,,,,,,,,,,,,True,,,,"['https://garden.org/plants/view/131955/Fraser-Fir-Abies-fraseri-Klines-Nest/', 'https://garden.org/plants/view/131956/Fraser-Fir-Abies-fraseri-Prostrata/', 'https://garden.org/plants/view/166337/Fraser-Fir-Abies-fraseri-Franklin/', 'https://garden.org/plants/view/166338/Fraser-Fir-Abies-fraseri-Julian-Potts/']",,,,,,,,,,,,,True,,,,,
,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,0.0,,,,,,True,,,,,True,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,Abronia,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,Perennial,,,,0.0,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,10 inches,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,fragrans,,,,,,,,,,,,,,,,,,,,,,,,,,,,['https://garden.org/plants/view/79632/Fragrant-Sand-Verbena-Abronia-fragrans/'],,,,,,,,,,True,True,,,,,,True,
,,,,,,,,,,,,,True,,,True,,,,,,,True,,,,,,,,0.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,0.0,,,,True,,True,True,,,,True,,,,,,,,,,,,True,,True,,,True,,,,,,,,,,,,,,,,,True,,Abutilon,,,,,,,,,,,,True,,,,,,,,,,True,True,,,,,,,,,,,Perennial,,Zone 9b,,0.0,,,,Zone 7a -17.8 °C (0 °F) to -15 °C (5 °F),,,,,,,,,,,,,,,,,True,,,,,,,,,,,1-3 feet,1-2 feet,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,fruticosum,,,,,,,,,,,,,,,True,,,,,,,,,,,True,,"['https://garden.org/plants/view/79642/Chinese-Lantern-Abutilon-fruticosum/', 'https://garden.org/plants/view/656776/Chinese-Lantern-Abutilon-fruticosum-var-chrysocarpa/', 'https://garden.org/plants/view/656777/Chinese-Lantern-Abutilon-fruticosum-var-hepperi/', 'https://garden.org/plants/view/656778/Chinese-Lantern-Abutilon-fruticosum-var-microphyllum/', 'https://garden.org/plants/view/656779/Chinese-Lantern-Abutilon-fruticosum-var-saidae/']",,,,,,,,,,,True,,,,,True,True,
