,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,FamSize,IsAlone,AgeClass,HasCabin,AgeSex,FamClass,NameSex,IsMarried,SexMarried,AgeSexMarried,SexClass,SexCabin
0,0,3,Mr,male,3,1,0,0,None,S,1,False,33,False,3male,13,Mrmale,True,maleTrue,3maleTrue,male3,maleFalse
1,1,1,Mrs,female,4,1,0,3,C,C,1,False,41,True,4female,11,Mrsfemale,True,femaleTrue,4femaleTrue,female1,femaleTrue
2,1,3,Miss,female,3,0,0,1,None,S,0,True,33,False,3female,03,Missfemale,False,femaleFalse,3femaleFalse,female3,femaleFalse
3,1,1,Mrs,female,4,1,0,3,C,S,1,False,41,True,4female,11,Mrsfemale,True,femaleTrue,4femaleTrue,female1,femaleTrue
4,0,3,Mr,male,4,0,0,1,None,S,0,True,43,False,4male,03,Mrmale,False,maleFalse,4maleFalse,male3,maleFalse
5,0,3,Mr,male,2,0,0,1,None,Q,0,True,23,False,2male,03,Mrmale,False,maleFalse,2maleFalse,male3,maleFalse
6,0,1,Mr,male,5,0,0,3,E,S,0,True,51,True,5male,01,Mrmale,False,maleFalse,5maleFalse,male1,maleTrue
7,0,3,Master,male,0,3,1,2,None,S,4,False,03,False,0male,43,Mastermale,False,maleFalse,0maleFalse,male3,maleFalse
8,1,3,Mrs,female,3,0,2,1,None,S,2,False,33,False,3female,23,Mrsfemale,True,femaleTrue,3femaleTrue,female3,femaleFalse
9,1,2,Mrs,female,2,1,0,2,None,C,1,False,22,False,2female,12,Mrsfemale,True,femaleTrue,2femaleTrue,female2,femaleFalse
10,1,3,Miss,female,1,1,1,2,G,S,2,False,13,True,1female,23,Missfemale,False,femaleFalse,1femaleFalse,female3,femaleTrue
11,1,1,Miss,female,5,0,0,2,C,S,0,True,51,True,5female,01,Missfemale,False,femaleFalse,5femaleFalse,female1,femaleTrue
12,0,3,Mr,male,3,0,0,1,None,S,0,True,33,False,3male,03,Mrmale,False,maleFalse,3maleFalse,male3,maleFalse
13,0,3,Mr,male,4,1,5,3,None,S,6,False,43,False,4male,63,Mrmale,True,maleTrue,4maleTrue,male3,maleFalse
14,0,3,Miss,female,2,0,0,0,None,S,0,True,23,False,2female,03,Missfemale,False,femaleFalse,2femaleFalse,female3,femaleFalse
15,1,2,Mrs,female,5,0,0,2,None,S,0,True,52,False,5female,02,Mrsfemale,True,femaleTrue,5femaleTrue,female2,femaleFalse
16,0,3,Master,male,0,4,1,2,None,Q,5,False,03,False,0male,53,Mastermale,False,maleFalse,0maleFalse,male3,maleFalse
17,1,2,Mr,male,2,0,0,1,None,S,0,True,22,False,2male,02,Mrmale,False,maleFalse,2maleFalse,male2,maleFalse
18,0,3,Mrs,female,4,1,0,2,None,S,1,False,43,False,4female,13,Mrsfemale,True,femaleTrue,4femaleTrue,female3,femaleFalse
19,1,3,Mrs,female,5,0,0,0,None,C,0,True,53,False,5female,03,Mrsfemale,True,femaleTrue,5femaleTrue,female3,femaleFalse
20,0,2,Mr,male,4,0,0,2,None,S,0,True,42,False,4male,02,Mrmale,False,maleFalse,4maleFalse,male2,maleFalse
21,1,2,Mr,male,4,0,0,1,D,S,0,True,42,True,4male,02,Mrmale,False,maleFalse,4maleFalse,male2,maleTrue
22,1,3,Miss,female,2,0,0,1,None,Q,0,True,23,False,2female,03,Missfemale,False,femaleFalse,2femaleFalse,female3,femaleFalse
23,1,1,Mr,male,3,0,0,3,A,S,0,True,31,True,3male,01,Mrmale,False,maleFalse,3maleFalse,male1,maleTrue
24,0,3,Miss,female,1,3,1,2,None,S,4,False,13,False,1female,43,Missfemale,False,femaleFalse,1femaleFalse,female3,femaleFalse
25,1,3,Mrs,female,4,1,5,3,None,S,6,False,43,False,4female,63,Mrsfemale,True,femaleTrue,4femaleTrue,female3,femaleFalse
26,0,3,Mr,male,2,0,0,0,None,C,0,True,23,False,2male,03,Mrmale,False,maleFalse,2maleFalse,male3,maleFalse
27,0,1,Mr,male,2,3,2,3,C,S,5,False,21,True,2male,51,Mrmale,False,maleFalse,2maleFalse,male1,maleTrue
28,1,3,Miss,female,2,0,0,0,None,Q,0,True,23,False,2female,03,Missfemale,False,femaleFalse,2femaleFalse,female3,femaleFalse
29,0,3,Mr,male,2,0,0,0,None,S,0,True,23,False,2male,03,Mrmale,False,maleFalse,2maleFalse,male3,maleFalse
30,0,1,Uncommon,male,4,0,0,2,None,C,0,True,41,False,4male,01,Uncommonmale,False,maleFalse,4maleFalse,male1,maleFalse
31,1,1,Mrs,female,2,1,0,3,B,C,1,False,21,True,2female,11,Mrsfemale,True,femaleTrue,2femaleTrue,female1,femaleTrue
