,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,FamSize,IsAlone,AgeClass,HasCabin,AgeSex,FamClass,NameSex,IsMarried,SexMarried,AgeSexMarried,SexClass,SexCabin
0,0,3,2,1,3,1,0,0,9,2,1,0,0.22,0,0.18181818181818182,0.37142857142857144,0.1657754010695187,1,0.3,0.3,0.14056224899598393,0.14414414414414414
1,1,1,3,0,4,1,0,3,2,0,1,0,0.6865671641791045,1,0.7878787878787878,0.82,0.8,1,0.8,0.7857142857142857,0.9743589743589743,0.9473684210526315
2,1,3,1,0,3,0,0,1,9,2,0,1,0.22,0,0.734375,0.1906779661016949,0.7063492063492064,0,0.7218045112781954,0.7619047619047619,0.45652173913043476,0.6578947368421053
3,1,1,3,0,4,1,0,3,2,2,1,0,0.6865671641791045,1,0.7878787878787878,0.82,0.8,1,0.8,0.7857142857142857,0.9743589743589743,0.9473684210526315
4,0,3,2,1,4,0,0,1,9,2,0,1,0.17142857142857143,0,0.2457627118644068,0.1906779661016949,0.1657754010695187,0,0.19008264462809918,0.22580645161290322,0.14056224899598393,0.14414414414414414
5,0,3,2,1,2,0,0,1,9,1,0,1,0.1937984496124031,0,0.09375,0.1906779661016949,0.1657754010695187,0,0.19008264462809918,0.09375,0.14056224899598393,0.14414414414414414
6,0,1,2,1,5,0,0,3,4,2,0,1,0.5483870967741935,1,0.1875,0.5568181818181818,0.1657754010695187,0,0.19008264462809918,0.18518518518518517,0.41304347826086957,0.45
7,0,3,0,1,0,3,1,2,9,2,4,0,0.6666666666666666,0,0.7777777777777778,0.0,0.7083333333333334,0,0.19008264462809918,0.7777777777777778,0.14056224899598393,0.14414414414414414
8,1,3,3,0,3,0,2,1,9,2,2,0,0.22,0,0.734375,0.40625,0.8,1,0.8,0.6818181818181818,0.45652173913043476,0.6578947368421053
9,1,2,3,0,2,1,0,2,9,0,1,0,0.47368421052631576,0,0.7894736842105263,0.6086956521739131,0.8,1,0.8,0.9375,0.9310344827586207,0.6578947368421053
10,1,3,1,0,1,1,1,2,8,2,2,0,0.4,1,0.47058823529411764,0.40625,0.7063492063492064,0,0.7218045112781954,0.47058823529411764,0.45652173913043476,0.9473684210526315
11,1,1,1,0,5,0,0,2,2,2,0,1,0.5483870967741935,1,0.8823529411764706,0.5568181818181818,0.7063492063492064,0,0.7218045112781954,1.0,0.9743589743589743,0.9473684210526315
